acronym,meaning
SPOM,STS planning and operations management
SPORTS,simplified payload/orbiter thermal simulator
SPOT,Space Station proximity operations trainer
SPP,security practice and procedures
SPP,signal preprocessor
SPP,Simulation Planning Panel
SPP,solar physics payload
SPP,SPIF processing procedure
SPPIL,Shuttle preferred pyrotechnic items list
SPPL,spare parts provisioning list
SPPM,system performance prediction model
SPR,software problem report
SPR,subcontractor performance review
SPRAG,STS Payload Requirements and Analysis Group
SPRD,system performance requirements document
SPRU,standard power regulator unit
SPS,satellite power system
SPS,secondary propulsion system
SPS,service propulsion system (subsystem)
SPS,Shuttle procedures simulator
SPS,Shuttle processing site
SPS,software product specification
SPS,software productivity solution
SPS,statement of prior submission
SPSL,space parts selection list
SPSS,science planning and scheduling system
SPST,"single pole, single throw"
SPT,steering position transducer
SPTD,supplemental provisioning technical documentation
SPTI,structural program test input
SPUR,separate parts usage record
SPVPF,Shuttle Payload Vertical Processing Facility
SPWG,Spare Parts Working Group
SQA,software quality assurance
SQA,subcontractor quality assurance
SQC,statistical quality control
SQE,software quality evaluation
SQE,supplier quality evaluation
SQEP,software quality evaluation plan
SQH,supplier quality history
SQIDS,satellite quick-look interactive display system
SQL,Standard Query Language
SQPSK,sequential phase shift keying
SQW,square wave
SR,safety review
SR,status review
SR,sunrise
SR,support request
SR,support room
SR,saturable reactor
SR,scan ratio
SR,shift register
SR,shop release
SR,standard repair
SR,statement of requirements
SR,status register
SR,status report
SR&PA,"safety, reliability, and product assurance"
SR&Q,"safety, reliability, and quality"
SR&QA,"safety, reliability, and quality assurance"
SRA,spin reference angle
SRA,spin reference axis
SRA,support requirements analysis
SRA,system requirements analysis
SRAD,Shuttle radar assembly demonstration
SRAD,space radiator assembly demonstration
SRAG,Space Radiation Analysis Group
SRAM,short-range attack missile
SRAM,static random access memory
SRAT,short-range advanced technology
SRB,Safety Review Board
SRB,Software Review Board
SRB,solid rocket booster
SRB,system requirements baseline
SRBAB,SRB Assembly Building
SRBARF,SRB Assembly and Refurbishment Facility
SRBDF,SRB Disassembly Facility
SRC,sample return canister
SRCB,Simulation Requirements Control Board
SRCB,Software Requirements Change Board
SRCBD,Software Requirements Change Board directive
SRD,Shuttle requirements definition
SRD,Shuttle requirements document
SRD,Spacecraft Research Division
SRD,systems requirements document
SRDCS,simulation reconfiguration data collection system
SRDH,System Requirements Definition Handbook
SRE,SASCB responsible engineer
SRE,STDN ranging equipment
SREM,software requirements methodology
SREM,system requirement engineering methodology
SRF,Shuttle Refurbishment Facility
SRH,Subsystem Requirements Handbook
SRH,System Requirements Handbook
SRHIT,small radar homing interceptor technology
SRHIT,small radar-hardening interceptor technology
SRI,Southwest Research Institute
SRIP,security requirements implementation plan
SRJE,SNA remote job entry
SRL,single-rack laboratory
SRL,Space Radar Laboratory
SRM,solid rocket motor
SRM,spares requirement model
SRM,Specification Requirements Manual
SRM,standard reference material
SRM&QA,"safety, reliability, maintainability, and quality"
SRMC,stimulus-response measurements catalog
SRMS,Shuttle remote manipulator system
SRN,software release notice
SRO,superintendent of range operations
SRO,supervisor of range operations
SRP,seat reference plane
SRP,seat reference point
SRP,stabilizer reference plane
SRP,standard repair procedure
SRPA,spherical retarding potential analyzer
SRPS,secure record and playback subsystem
SRR,Shuttle requirements review
SRR,site readiness review
SRR,software requirements review
SRR,specification readiness review
SRR,subcontractor readiness review
SRR,system requirements review
SRRID,site readiness review item document
SRS,short register to storage
SRS,simulated remote station
SRS,simulation reconfiguration system
SRS,simulation recording system
SRS,software requirements specification
SRS,specification review sheet
SRS,specification revision sheet
SRS,stellar radiation sensor
SRS,support requirements system
SRSCC,simulated remote station control console
SRSI,simulated reusable surface insulation
SRSR,schedule and resources status report
SRSS,Shuttle range safety system
SRT,safety review team
SRT,Shuttle requirements traceability
SRT,special rated thrust
SRT,specification requirements table
SRT,station readiness test
SRT,supporting research and technology
SRT,system readiness test
SRT,system requirements test
SRU,shop repairable unit
SRU,shop replaceable unit
SRU,space replaceable unit
SRW,standard reaction wheel
SS,second structure
SS,Space Station
SS,space segment
SS,space sphere
SS,stainless steel
SS,station set
SS,structures subsystem
SS,subsystem
SS,sun sensor
SS,support subsystem
SS,system software
SS,segment specification
SS,system specification
SS,system summary
SS,set screw
SS,short scarf (thruster nozzle)
SS,Shuttle system
SS,single side band
SS,single signal
SS,single string
SS,Space Shuttle
SS&A,space systems and applications
SSA,S-band single access
SSA,Shuttle simulation aircraft
SSA,Software Support Agency
SSA,software safety analysis
SSA,space suit assembly
SSA,system support analysis
SSAD,software system analysis document
SSAD,system summary acceptance document
SSAIAF,Space Systems Automated Integration and Assembly Facility
SSAS,STS/SSPE attachment system
SSAT,Space Shuttle access tower
SSAT,system segment acceptance test
SSB,single side band
SSB,Source Selection Board
SSBC,summary sheet bar chart
SSBN,fleet ballistic missile submarine
SSBUV,Shuttle solar backscatter ultraviolet
SSBW,spread-spectrum bandwidth
SSC,sensor signal conditioner
SSC,Shuttle system contractor
SSC,solid-solution cermet
SSC,solid-state circuit
SSC,Stennis Space Center (formerly National Space Technology Laboratories)
SSC,subsystem computer
SSC,system sequence controller
SSCA,surface sampler control assembly
SSCB,Space Station Control Board
SSCC,Space Station Control Center
SSCC,Support Services Control Center
SSCF,Space Station Control Facility
SSCHS,Space Shuttle cargo handling system
SSCL,Shuttle system commonality list
SSCM,Space Station cost model
SSCP,small self-contained payload
SSCR,support software change request
SSCSP,Space Shuttle Crew Safety Panel
SSD,Space Systems Division (Rockwell)
SSD,Space Systems Division (USAF)
SSD,Spacecraft Software Division (NASA)
SSD,system summary display
SSDAC,Space Station data acquisition and control
SSDB,spin system distribution box
SSDD,software system design document
SSDF,Space Science Development Facility
SSDH,Subsystem Data Handbook
SSDO,steady-state design and optimization code
SSDS,Space Station data system
SSDSAS,Space Station Data System Architecture Study
SSE,software support environment
SSE,system security engineering
SSE,software support equipment
SSE,sortie support equipment
SSE,Space Shuttle engine
SSE,space support equipment
SSE,spacecraft simulation equipment
SSE,subsystem element
SSE,system (subsystem) support equipment
SSE,system safety engineering
SSEDF,Software Support Environment Development Facility
SSEM,system security engineering manager
SSEOS,Space Shuttle engineering and operations support
SSEOS,Space Station external operations simulator
SSEP,system security engineering phase
SSEP,system security engineering plan
SSES,software system environment system
SSEUWG,SSE Users' Working Group
SSF,Space Station Freedom
SSF,SRB storage facility
SSFCS,Space Shuttle flight control system
SSFGSS,Space Shuttle Flight and Ground System Specification
SSFL,Santa Susana Field Laboratory
SSFN,Space Station flight network
SSFP,Space Station Freedom Program
SSFS,Space Shuttle functional simulation
SSG,Sensor Systems Group
SSGDAC,"Space Station guidance, dynamics, and control"
SSH,simulation support hardware
SSHA,Shuttle system hazard analysis
SSHA,subsystem hazard analysis
SSHB,Station Set Handbook
SSI,San Salvador Island
SSI,sector scan indicator
SSI,significant structural item
SSI,space segment integration
SSIBD,Shuttle system interface block diagram
SSIE,Smithsonian Science Information Exchange
SSIP,Shuttle Student Involvement Project
SSIP,system software interface processing
SSIS,Space Station information system
SSITP,Shuttle system integrated test plan
SSL,site support list
SSL,system software loader
SSL,system specification language
SSLV,standard small launch vehicle
SSM,satellite survivability model
SSM,second surface mirror
SSM,site status message
SSM,spacecraft system monitor
SSM,subsystem manager
SSM,subsystem model
SSM,support system module
SSM,systems support module
SSMB,Space Shuttle maintenance baseline
SSMC,Space Shuttle Mission Control
SSME,Space Shuttle main engine
SSMEC,Space Shuttle main engine controller
SSMECA,SSME controller assembly
SSMTF,Space Station Man-Systems Training Facility
SSMTF,Space Station Mockup and Trainer Facility
SSN,Social Security number
SSO,safety signification operation
SSO,source selection official
SSO,Space Shuttle orbiter
SSO,subsystem operation (in Spacelab)
SSO,system security officer
SSO,Systems Software Office
SSODB,Space Station Operational Data Book
SSODC,steady-state off-design code
SSOP,space systems operating procedure
SSP,security system plan
SSP,small sortie payload
SSP,Space Shuttle Program
SSP,Space Station Program
SSP,spread spectrum
SSP,standard switch panel
SSP,subsolar point
SSP,system security plan
SSPC,Spacelab stored program command
SSPD,Shuttle system payload data
SSPD,Shuttle system payload definition
SSPD,Shuttle system payload description
SSPDA,Space Shuttle payload data activity
SSPDB,subsystem power distribution box
SSPDS,Space Shuttle Payload Data Study
SSPE,Space Station Program element
SSPF,Sortie Software Production Facility
SSPF,Space Shuttle Programming Facility
SSPF,Space Station Processing Facility
SSPFA,Space Shuttle Program flight assignment
SSPGSE,Space Shuttle Program ground support equipment
SSPII,Space Shuttle Program implementing instruction
SSPM,Software Standards and Procedures Manual
SSPM,solid-state photomultiplier
SSPM,Space Shuttle program manager
SSPM,Standards and Procedures Manual
SSPM,System Safety program manager
SSPO,Space Shuttle Program Office
SSPO,Space Station Projects Office
SSPP,Space Station Program participant
SSPP,system safety program plan
SSPPM,SPADOC system performance prediction model
SSPPSG,Space Shuttle Payload Planning Steering Group
SSPRO,Space Shuttle Program Resident Office
SSPS,solar satellite power station
SSPS,Space Shuttle Program schedule
SSPTF,Santa Susana Propulsion Test Facility
